id_unique;objet;categorie_finale
MG1A5LCXET;evaluation environnementale du projet de plan local d'urbanisme plu et poursuite de la procedure y compris modification eventuelle des documents apres enquete a calvi;environnement
6V0MK6IKIB;realisation d'une etude d'evaluation environnementale du plu de saint andre;environnement
BWPTDLVORQ;evaluation de l'efficacite des operations financees par l'agence de l'eau loire bretagne d'orleans sur les reseaux d'assainissement;environnement
00WKP384D7;structuration du programme de travail et de la methodologie de definition  de validation et d'evaluation des prestations de l'anap des etablissements de sante et medico sociaux a paris;santé
LHK3O99M2V;etude d'evaluation environnementale d'un plan local d'urbanisme pour la ville de lisses;environnement
21PCJLKH5H;evaluation groupee des fsp d'appui a l'enseignement du francais en tanzanie et au kenya ;éducation-recherche
W8YDQG3NLZ;evaluation de la renovation du dispositif d'appui technique aux eleveurs ovins viande a montreuil sous bois cedex;logement
RZ0VST01L0;evaluation de la gestion des donnees techniques a l'agence de l'eau loire bretagne a orleans 45;environnement
9VKL8T6WQN;accompagnement a l'evaluation des facteurs environnementaux et societaux dans le cadre d'un projet de logistique en genie civil   projet orloges;environnement
YJ3HSBBW4G;evaluation des exonerations de charges sociales et fiscales liees a des projets d'implantations d'entreprises dans le departement des ardennes eco gbe;fiscalité-économie
SKPCUM9N9O;prestation d'evaluation de la capacite des structures  ayant beneficie d'une aide a la creation ou a la perennisation d'un poste  dans le cadre des  emplois tremplins pour le territoire  a nantes;emploi-insertion
26ACJXWIOX;evaluation environnementale du sage allier aval lot1 et assistance juridique  technique et methodologique a la redaction du sage allier aval et de ses documents annexes lot2 ;environnement
QWZLZIUKN0;plan departemental pour l'emploi : evaluation  preconisations d'actions et organisation d'assises pour l'emploi pour le conseil general du val de marne a creteil;emploi-insertion
DAMEW1HV4E;evaluation de la gestion des donnees techniques a l'agence de l'eau loire bretagne a orleans 45;environnement
KEC1BJMG47;evaluation environnementale du sage allier aval et assistance juridique  technique et methodologique a la redaction du sage allier aval et de ses documents annexes ;environnement
ZEED1WAH20;realisation d'une etude portant sur l'evaluation de la manifestation imaginez maintenant en partenariat avec le haut commissaire a la jeunesse a paris;social
HSVEO2PD05;evaluation des effets du dispositif de soutien public a l'exportation sur les performances a l'export des entreprises beneficiaires a paris;fiscalité-économie
OHN9CZ2KC8;etudes sur l'evaluation du programme de sante des jeunes et le developpement des actions d'education a la sante en languedoc roussillon pour le c r a montpellier;santé
QVRRY3HK24;evaluation relative a la competitivite des filieres et aux contrats d'aide a la competitivite du projets etat region et le programme operationnel competitivite regionale et emploi feder 2007 2013;fiscalité-économie
KG70SQDH2S;evaluation environnementale du plan departemental de prevention et de gestion des dechets non dangereux a colmar;environnement
3N4FSMHR4V;etude portant sur l'evaluation des poles de competitivite a paris;fiscalité-économie
GB1GNKCLCH;prestations d'evaluation dans le cadre de l'amenagement du logement pour le conseil general de la moselle a metz;logement
RR1WKND5Z2;action d'evaluation en direction des entrants dans le dispositif rsa dans le departement de loir et cher;emploi-insertion
NC1B3CPH4C;evaluation des projets de recherche finances depuis 2006 par la region des pays de la loire dans le cadre de l'appel a projets recherche annuel a nantes;fiscalité-économie
QLTN2M4HLF;75 prestation pour la realisation d'une etude et pour une amo relatives a l'evaluation des politques des poles de competitivite et des grappes d'entreprises a paris;fiscalité-économie
JY1FZHNXCX;etude de l'etat initial de l'environnement et evaluation environnementale du schema de coherence territoriale a rouen;environnement
H6DNGXXGPI;reflexion prospective et evaluative sur l'impact societal de la grande operation d'urbanisme pour l'epa a choisy le roi rectificatif;urbanité-transports
6JUA6RC80W;evaluation du dispositif national de prise en charge par l'assurance maladie des substituts nicotiniques a paris;santé
SHW05UCMMG;aide a l'elaboration du rapport d'evaluation de l'agence de l'eau loire bretagne a orleans;social
